glyph_name,ps_name,USV,DesignerOrder,bcp47tags,OTLang,assoc_feat,assoc_feat_val,assoc_uids,Comment
.notdef,.notdef,  FFFF,0,,,,,,
.null,.null,,1,,,,,,
tab,tab,,2,,,,,,
space,space,0020,3,,,,,,
exclam,exclam,0021,4,,,cv01,0,,
exclam.punct,exclam.punct,,5,,,cv01,1,0021,
quotedbl,quotedbl,0022,6,,,,,,
numbersign,numbersign,0023,7,,,,,,
dollar,dollar,0024,8,,,cv01,0,,
dollar.punct,dollar.punct,,9,,,cv01,1,0024,
percent,percent,0025,10,,,cv01,0,,
percent.punct,percent.punct,,11,,,cv01,1,0025,
ampersand,ampersand,0026,12,,,,,,
quotesingle,quotesingle,0027,13,,,,,,
parenleft,parenleft,0028,14,,,,,,
parenright,parenright,0029,15,,,,,,
asterisk,asterisk,  002A,16,,,cv01,0,,
asterisk.punct,asterisk.punct,,17,,,cv01,1,  002A,
plus,plus,  002B,18,,,cv01,0,,
plus.punct,plus.punct,,19,,,cv01,1,  002B,
comma,comma,  002C,20,,,,,,
hyphenminus,hyphenminus,  002D,21,,,,,,
period,period,  002E,22,,,,,,
slash,slash,  002F,23,,,cv01,0,,
slash.punct,slash.punct,,24,,,cv01,1,  002F,
zero,zero,0030,25,,,cv01,0,,
one,one,0031,26,,,cv01,0,,
two,two,0032,27,,,cv01,0,,
three,three,0033,28,,,cv01,0,,
four,four,0034,29,,,cv01,0,,
five,five,0035,30,,,cv01,0,,
six,six,0036,31,,,cv01,0,,
seven,seven,0037,32,,,cv01,0,,
eight,eight,0038,33,,,cv01,0,,
nine,nine,0039,34,,,cv01,0,,
zero.punct,zero.punct,,35,,,cv01,1,0030,
one.punct,one.punct,,36,,,cv01,1,0031,
two.punct,two.punct,,37,,,cv01,1,0032,
three.punct,three.punct,,38,,,cv01,1,0033,
four.punct,four.punct,,39,,,cv01,1,0034,
five.punct,five.punct,,40,,,cv01,1,0035,
six.punct,six.punct,,41,,,cv01,1,0036,
seven.punct,seven.punct,,42,,,cv01,1,0037,
eight.punct,eight.punct,,43,,,cv01,1,0038,
nine.punct,nine.punct,,44,,,cv01,1,0039,
colon,colon,  003A,45,,,,,,
semicolon,semicolon,  003B,46,,,,,,
less,less,  003C,47,,,,,,
equal,equal,  003D,48,,,cv01,0,,
equal.punct,equal.punct,,49,,,cv01,1,  003D,
greater,greater,  003E,50,,,,,,
question,question,  003F,51,,,cv01,0,,
question.punct,question.punct,,52,,,cv01,1,  003F,
at,at,0040,53,,,,,,
A,A,0041,54,,,,,,
B,B,0042,55,,,,,,
C,C,0043,56,,,,,,
D,D,0044,57,,,,,,
E,E,0045,58,,,,,,
F,F,0046,59,,,,,,
G,G,0047,60,,,,,,
H,H,0048,61,,,,,,
I,I,0049,62,,,,,,
J,J,  004A,63,,,,,,
K,K,  004B,64,,,,,,
L,L,  004C,65,,,,,,
M,M,  004D,66,,,,,,
N,N,  004E,67,,,,,,
O,O,  004F,68,,,,,,
P,P,0050,69,,,,,,
Q,Q,0051,70,,,,,,
R,R,0052,71,,,,,,
S,S,0053,72,,,,,,
T,T,0054,73,,,,,,
U,U,0055,74,,,,,,
V,V,0056,75,,,,,,
W,W,0057,76,,,,,,
X,X,0058,77,,,,,,
Y,Y,0059,78,,,,,,
Z,Z,  005A,79,,,,,,
bracketleft,bracketleft,  005B,80,,,,,,
backslash,backslash,  005C,81,,,,,,
bracketright,bracketright,  005D,82,,,,,,
asciicircum,asciicircum,  005E,83,,,,,,
underscore,underscore,  005F,84,,,,,,
grave,grave,0060,85,,,,,,
a,a,0061,86,,,,,,
b,b,0062,87,,,,,,
c,c,0063,88,,,,,,
d,d,0064,89,,,,,,
e,e,0065,90,,,,,,
f,f,0066,91,,,,,,
g,g,0067,92,,,,,,
h,h,0068,93,,,,,,
i,i,0069,94,,,,,,
j,j,  006A,95,,,,,,
k,k,  006B,96,,,,,,
l,l,  006C,97,,,,,,
m,m,  006D,98,,,,,,
n,n,  006E,99,,,,,,
o,o,  006F,100,,,,,,
p,p,0070,101,,,,,,
q,q,0071,102,,,,,,
r,r,0072,103,,,,,,
s,s,0073,104,,,,,,
t,t,0074,105,,,,,,
u,u,0075,106,,,,,,
v,v,0076,107,,,,,,
w,w,0077,108,,,,,,
x,x,0078,109,,,,,,
y,y,0079,110,,,,,,
z,z,  007A,111,,,,,,
braceleft,braceleft,  007B,112,,,,,,
bar,bar,  007C,113,,,,,,
braceright,braceright,  007D,114,,,,,,
asciitilde,asciitilde,  007E,115,,,,,,
uni00A0,uni00A0,  00A0,116,,,,,,
exclamdown,exclamdown,  00A1,117,,,cv01,0,,
exclamdown.punct,exclamdown.punct,,118,,,cv01,1,  00A1,
cent,cent,  00A2,119,,,,,,
sterling,sterling,  00A3,120,,,,,,
currency,currency,  00A4,121,,,,,,
yen,yen,  00A5,122,,,,,,
brokenbar,brokenbar,  00A6,123,,,,,,
section,section,  00A7,124,,,,,,
dieresis,dieresis,  00A8,125,,,,,,
copyright,copyright,  00A9,126,,,cv01,0,,
copyright.punct,copyright.punct,,127,,,cv01,1,  00A9,
ordfeminine,ordfeminine,  00AA,128,,,,,,
guillemotleft,guillemotleft,  00AB,129,,,cv01,0,,
guillemotleft.punct,guillemotleft.punct,,130,,,cv01,1,  00AB,
logicalnot,logicalnot,  00AC,131,,,,,,
uni00AD,uni00AD,  00AD,132,,,,,,
registered,registered,  00AE,133,,,,,,
macron,macron,  00AF,134,,,,,,
degree,degree,  00B0,135,,,,,,
plusminus,plusminus,  00B1,136,,,,,,
onesuperior,onesuperior,  00B9,137,,,cv01,0,,
twosuperior,twosuperior,  00B2,138,,,cv01,0,,
threesuperior,threesuperior,  00B3,139,,,cv01,0,,
onesuperior.punct,onesuperior.punct,,140,,,cv01,1,  00B9,
twosuperior.punct,twosuperior.punct,,141,,,cv01,1,  00B2,
threesuperior.punct,threesuperior.punct,,142,,,cv01,1,  00B3,
acute,acute,  00B4,143,,,,,,
mu,mu,  00B5,144,,,,,,
paragraph,paragraph,  00B6,145,,,,,,
periodcentered,periodcentered,  00B7,146,,,,,,
cedilla,cedilla,  00B8,147,,,,,,
ordmasculine,ordmasculine,  00BA,148,,,,,,
guillemotright,guillemotright,  00BB,149,,,cv01,0,,
guillemotright.punct,guillemotright.punct,,150,,,cv01,1,  00BB,
onequarter,onequarter,  00BC,151,,,,,,
onehalf,onehalf,  00BD,152,,,,,,
threequarters,threequarters,  00BE,153,,,,,,
questiondown,questiondown,  00BF,154,,,,,,
Agrave,Agrave,  00C0,155,,,,,,
Aacute,Aacute,  00C1,156,,,,,,
Acircumflex,Acircumflex,  00C2,157,,,,,,
Atilde,Atilde,  00C3,158,,,,,,
Adieresis,Adieresis,  00C4,159,,,,,,
Aring,Aring,  00C5,160,,,,,,
AE,AE,  00C6,161,,,,,,
Ccedilla,Ccedilla,  00C7,162,,,,,,
Egrave,Egrave,  00C8,163,,,,,,
Eacute,Eacute,  00C9,164,,,,,,
Ecircumflex,Ecircumflex,  00CA,165,,,,,,
Edieresis,Edieresis,  00CB,166,,,,,,
Igrave,Igrave,  00CC,167,,,,,,
Iacute,Iacute,  00CD,168,,,,,,
Icircumflex,Icircumflex,  00CE,169,,,,,,
Idieresis,Idieresis,  00CF,170,,,,,,
Eth,Eth,  00D0,171,,,,,,
Ntilde,Ntilde,  00D1,172,,,,,,
Ograve,Ograve,  00D2,173,,,,,,
Oacute,Oacute,  00D3,174,,,,,,
Ocircumflex,Ocircumflex,  00D4,175,,,,,,
Otilde,Otilde,  00D5,176,,,,,,
Odieresis,Odieresis,  00D6,177,,,,,,
multiply,multiply,  00D7,178,,,cv01,0,,
multiply.punct,multiply.punct,,179,,,cv01,1,  00D7,
Oslash,Oslash,  00D8,180,,,,,,
Ugrave,Ugrave,  00D9,181,,,,,,
Uacute,Uacute,  00DA,182,,,,,,
Ucircumflex,Ucircumflex,  00DB,183,,,,,,
Udieresis,Udieresis,  00DC,184,,,,,,
Yacute,Yacute,  00DD,185,,,,,,
Thorn,Thorn,  00DE,186,,,,,,
germandbls,germandbls,  00DF,187,,,,,,
agrave,agrave,00E0,188,,,,,,
aacute,aacute,00E1,189,,,,,,
acircumflex,acircumflex,00E2,190,,,,,,
atilde,atilde,00E3,191,,,,,,
adieresis,adieresis,00E4,192,,,,,,
aring,aring,00E5,193,,,,,,
ae,ae,00E6,194,,,,,,
ccedilla,ccedilla,00E7,195,,,,,,
egrave,egrave,00E8,196,,,,,,
eacute,eacute,00E9,197,,,,,,
ecircumflex,ecircumflex,  00EA,198,,,,,,
edieresis,edieresis,  00EB,199,,,,,,
igrave,igrave,  00EC,200,,,,,,
iacute,iacute,  00ED,201,,,,,,
icircumflex,icircumflex,  00EE,202,,,,,,
idieresis,idieresis,  00EF,203,,,,,,
eth,eth,  00F0,204,,,,,,
ntilde,ntilde,  00F1,205,,,,,,
ograve,ograve,  00F2,206,,,,,,
oacute,oacute,  00F3,207,,,,,,
ocircumflex,ocircumflex,  00F4,208,,,,,,
otilde,otilde,  00F5,209,,,,,,
odieresis,odieresis,  00F6,210,,,,,,
divide,divide,  00F7,211,,,,,,
oslash,oslash,  00F8,212,,,,,,
ugrave,ugrave,  00F9,213,,,,,,
uacute,uacute,  00FA,214,,,,,,
ucircumflex,ucircumflex,  00FB,215,,,,,,
udieresis,udieresis,  00FC,216,,,,,,
yacute,yacute,  00FD,217,,,,,,
thorn,thorn,  00FE,218,,,,,,
ydieresis,ydieresis,  00FF,219,,,,,,
dotlessi,dotlessi,0131,220,,,,,,
OE,OE,0152,221,,,,,,
oe,oe,0153,222,,,,,,
Scaron,Scaron,0160,223,,,,,,
scaron,scaron,0161,224,,,,,,
Ydieresis,Ydieresis,0178,225,,,,,,
Zcaron,Zcaron,  017D,226,,,,,,
zcaron,zcaron,  017E,227,,,,,,
florin,florin,0192,228,,,,,,
circumflex,circumflex,  02C6,229,,,,,,
caron,caron,  02C7,230,,,,,,
uni02C9,uni02C9,  02C9,231,,,,,,
uni02D0,uni02D0,02D0,232,,,,,,
breve,breve,  02D8,233,,,,,,
dotaccent,dotaccent,  02D9,234,,,,,,
ring,ring,  02DA,235,,,,,,
ogonek,ogonek,  02DB,236,,,,,,
tilde,tilde,  02DC,237,,,,,,
hungarumlaut,hungarumlaut,  02DD,238,,,,,,
gravecomb,gravecomb,0300,239,,,,,,
acutecomb,acutecomb,0301,240,,,,,,
uni0302,uni0302,0302,241,,,,,,
tildecomb,tildecomb,0303,242,,,,,,
uni0304,uni0304,0304,243,,,,,,
uni0307,uni0307,0307,244,,,,,,
uni0308,uni0308,0308,245,,,,,,
uni030B,uni030B,  030B,246,,,,,,
uni030C,uni030C,  030C,247,,,,,,
uni030F,uni030F,  030F,248,,,,,,
uni034F,uni034F,034F,249,,,,,,
pi,pi,  03C0,250,,,,,,
uni1200,uni1200,1200,251,,,,,,
uni1201,uni1201,1201,252,,,,,,
uni1202,uni1202,1202,253,,,,,,
uni1203,uni1203,1203,254,,,,,,
uni1204,uni1204,1204,255,,,,,,
uni1205,uni1205,1205,256,,,,,,
uni1206,uni1206,1206,257,,,,,,
uni1207,uni1207,1207,258,,,,,,
uni1208,uni1208,1208,259,,,,,,
uni1209,uni1209,1209,260,,,,,,
uni120A,uni120A,  120A,261,,,,,,
uni120B,uni120B,  120B,262,,,,,,
uni120C,uni120C,  120C,263,,,,,,
uni120D,uni120D,  120D,264,,,,,,
uni120E,uni120E,  120E,265,,,,,,
uni120F,uni120F,  120F,266,,,,,,
uni1210,uni1210,1210,267,,,,,,
uni1211,uni1211,1211,268,,,,,,
uni1212,uni1212,1212,269,,,,,,
uni1213,uni1213,1213,270,,,,,,
uni1214,uni1214,1214,271,,,,,,
uni1215,uni1215,1215,272,,,,,,
uni1216,uni1216,1216,273,,,,,,
uni1217,uni1217,1217,274,,,,,,
uni1218,uni1218,1218,275,,,,,,
uni1219,uni1219,1219,276,,,,,,
uni121A,uni121A,  121A,277,,,,,,
uni121B,uni121B,  121B,278,,,,,,
uni121C,uni121C,  121C,279,,,,,,
uni121D,uni121D,  121D,280,,,,,,
uni121E,uni121E,  121E,281,,,,,,
uni121F,uni121F,  121F,282,,,cv04,0,,
uni121F.cohen1,uni121F.cohen1,,283,,,cv04,1,  121F,
uni121F.cohen2,uni121F.cohen2,,284,,,cv04,2,  121F,
uni1220,uni1220,1220,285,,,,,,
uni1221,uni1221,1221,286,,,,,,
uni1222,uni1222,1222,287,,,,,,
uni1223,uni1223,1223,288,,,,,,
uni1224,uni1224,1224,289,,,,,,
